label,definition,examples,prep,case
134,Квалификатив,"оценка, характеристика с точки зрения уподобления одного предмета другому, принадлежности предмета к группе; предмет, относительно которого сравнивается другой предмет; отнесение к классу предметов","слишком стар для службы, довольно роскошный для бедняков, характерно для Блока, трудное для Долли время, открыта не для каждого",для,род
135,Потенсив,"наклонность субъекта; потенциальное действие, часто нежелательное","требуется для награды, достаточно для сдачи, нужно для пятёрки, обязательно для планирования, полезней для его музыки (модально-оценочные слова-хозяева)",для,род
136,Дестинатив,"цель действия; назначение предмета или действия; лицо или предмет, которому предназначается предмет или действие","баночка из-под йогурта, картонка из-под ботинок",из-под,род
137,Директив,"направление действия, движения в пределы названного предмета; исходная или финальная точка движения; характеристика перемещения или расположения предмета по отношению к направлению движения; действие при противоборствующем влиянии","достают из-под кустов, вода из-под крана, посмотрел из-под рукавицы, выдернули из-под ног",из-под,род
138,Трансгрессив,изменение состояния; обозначение фазы действия,"бежал из-под караула, вышла из-под опеки",из-под,род
139,Дестинатив,"цель действия; назначение предмета или действия; лицо или предмет, которому предназначается предмет или действие","получил в ответ, выковал в подарок, назвал в шутку, слово в подтверждение",в,вин
140,Директив,"направление действия, движения в пределы названного предмета; исходная или финальная точка движения; характеристика перемещения или расположения предмета по отношению к направлению движения; действие при противоборствующем влиянии","уехал в город, залезли в нору, переселиться в дом, путёвка в рейс, въезд в парк, глядеть в воду, вдеть в иглу",в,вин
141,Инструментив,"орудие или средство осуществления действия; средство или способ движения, речемыслительного действия, существования предмета; интерпретация отвлечённого понятия (с глаголами быть, заключаться; понимать, подразумевать и т.п.)","запалили в пушки, смотрел в трубу, свисток в дуду, удар в колокол",в,вин
142,Квалитатив,"внешняя или внутренняя характеристика предмета или действия; материал, из которого изготовлен предмет","тетрадь в клетку, платье в горошек, нож в чехольчике, дворец в каменьях",в,вин
143,Квалификатив,"оценка, характеристика с точки зрения уподобления одного предмета другому, принадлежности предмета к группе; предмет, относительно которого сравнивается другой предмет; отнесение к классу предметов","пошёл в солдаты, ответил в тон, хлопали в лад, кивали в такт",в,вин
144,Квантитатив,"количественная характеристика, мера; обозначение размера путём соотнесения предмета с другим; обозначение частей, компонентов целого; количественный показатель изменения или соотношения признаков; обозначение частей целого, полученных в результате разделения","во много раз лучше, уменьшить в два раза, толщиной в палец, дом в три этажа, в 20 км от Москвы",в,вин
145,Объект,непосредственный объект действия,играть в лапту,в,вин
146,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","потребляла в год, задержали в пятницу, в последние годы переживает, поужинать в День святого Валентина",в,вин
147,Трансгрессив,изменение состояния; обозначение фазы действия,"превратился в руины, перерастёт в плод, ввергнуть в печаль, привести в восторг, пускаться в путь, ввести в употребление",в,вин
148,Дестинатив,"цель действия; назначение предмета или действия; лицо или предмет, которому предназначается предмет или действие","ключ от комнаты, футляр от скрипки, горлышко от бутылки",от,род
149,Директив,"направление действия, движения в пределы названного предмета; исходная или финальная точка движения; характеристика перемещения или расположения предмета по отношению к направлению движения; действие при противоборствующем влиянии","отойти от калитки, оторвался от ветки",от,род
150,Каузатор,"причина, основание действия; действие, состояние, вызывающее или изменяющее состояние субъекта","след от пальцев, взвыл от отчаяния, впечатление от зрелища, зависит от цены",от,род
151,Квалификатив,"оценка, характеристика с точки зрения уподобления одного предмета другому, принадлежности предмета к группе; предмет, относительно которого сравнивается другой предмет; отнесение к классу предметов","отличаться от других, отличить от подделки, есть что-то от отца",от,род
152,Квантитатив,"количественная характеристика, мера; обозначение размера путём соотнесения предмета с другим; обозначение частей, компонентов целого; количественный показатель изменения или соотношения признаков; обозначение частей целого, полученных в результате разделения","от 100 до 120 км в час, процент от общего числа",от,род
153,Объект,непосредственный объект действия,скрыть от руководства,от,род
154,Потенсив,"наклонность субъекта; потенциальное действие, часто нежелательное","воздержалась от замечаний, застраховать от забот, избавиться от угрозы, отмежеваться от проблемы",от,род
155,Сурсив,"источник информации, исхождения света, запаха, тепла, вкуса","услышала от подруги, веяло от магазинов, свет от фонаря, визг от винтов",от,род
156,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями","от заката до рассвета, от двух до трех часов, письмо от 1 октября",от,род
157,Локатив,"местоположение предмета, место протекания действия","лежит между горами, слышно меж кустами, сидела между Сергеевыми",между,твор
158,Объект,непосредственный объект действия,"сотрудничество между государствами, соперничают между собой",между,твор
159,Темпоратив,"временной отрезок, в котором происходит действие; расстояние во времени между событиями",между прошлым и будущим,между,твор
160,Директив,"направление действия, движения в пределы названного предмета; исходная или финальная точка движения; характеристика перемещения или расположения предмета по отношению к направлению движения; действие при противоборствующем влиянии","доедет до Киева, донеслось до слушателей",до,род
